coach_id,coach_name,coaching_player_id
1,Ivan-Ljubicic,f324
2,Daniel-Vallverdu,d875
3,Ricardo-Acioly,sg64
4,Yves-Allegro ,Unknown
5,Leonardo-Alonso,Unknown
6,Jose-Altur,g676
7," William ""Pato""-Alvarez ",Unknown
8,Braen-Aneiros,se73
9,Paul-Annacone,w367
10,Roberto-Antonini,Unknown
11,Jan-Apell,Unknown
12,Carsten-Arriens,Unknown
13,Thierry-Ascione,t786
14,Jean-Francois-Bachelot,Unknown
15,Aubrey-Barrett,Unknown
16,Jeremy-Bates,Unknown
17,Boris-Becker,Unknown
18,Tarik-Benhabiles ,Unknown
19,Galo-Blanco,Unknown
20,Fabian-Blengino,e698
21,Nick-Bollettieri,Unknown
22,Boris-Borgula,kc04
23,Dante-Bottini,n552
24,Craig-Boynton,q927
25,Oscar-Burrieza,Unknown
26,Darren-Cahill,Unknown
27,Leonardo-Caperchi,Unknown
28,Nick-Carr,Unknown
29,Alberto-Castellani,Unknown
30,Louis-Cayer,Unknown
31,Michael-Chang,n552
32,Jose-Checa Calvo,kb54
33,Ivan-Cinkus,c977
34,"Francisco ""Pato""-Clavet",Unknown
35,"José Manuel ""Pepo""-Clavet",l397
36,Jeff-Coetzee,c834
37,Albert-Costa,Unknown
38,Hakan-Dahlbo,v564
39,Hugo Streit-Daibert,s938
40,Scott-Davidoff,b757
41,James-Davidson,Unknown
42,Franco-Davin,f510
43,Robert-Davis,Unknown
44,John-Laffnie-De Jager,Unknown
45,Jan-De Witt,Unknown
46,Jamie-Delgado,mc10
47,Ramon-Delgado,Unknown
48,Yannis-Demeroutis,d632
49,Diego-Dinomo,Unknown
50,Mladen-Dodig,d646
51,Joshua-Eagle,Unknown
52,Juan Manuel-Esparcia,Unknown
53,Cesar-Fabregas,cd85
54,Philip-Farmer,Unknown
55,John B.-Farrington,Unknown
56,Stephan-Fehske,Unknown
57,Frederic-Fontang,Unknown
58,Jean-Luc-Fontanot,Unknown
59,Othmane-Garma,h788
60,Neville-Godwin,ch27
61,Carlos-Gomez Ferre,l480
62,Pablo-Gonzalez,Unknown
63,Fabio-Gorietti,f586
64,Marcos-Gorriz,Unknown
65,Brian-Gottfried,Unknown
66,Walter-Grinovero,Unknown
67,Sven-Groeneveld,Unknown
68,Christian-Groh,h355
