court_id,court_conditions,court_surface
1,Outdoor,Hard
2,Outdoor,Hard
3,Outdoor,Hard
4,Outdoor,Hard
5,Outdoor,Hard
6,Outdoor,Hard
7,Indoor,Hard
8,Outdoor,Clay
9,Indoor,Hard
10,Indoor,Hard
11,Indoor,Hard
12,Indoor,Clay
13,Outdoor,Hard
14,Indoor,Hard
15,Outdoor,Clay
16,Outdoor,Hard
17,Outdoor,Clay
18,Outdoor,Hard
19,Outdoor,Hard
20,Outdoor,Hard
21,Outdoor,Clay
22,Outdoor,Clay
23,Outdoor,Clay
24,Outdoor,Clay
25,Outdoor,Clay
26,Outdoor,Clay
27,Outdoor,Clay
28,Outdoor,Clay
29,Outdoor,Clay
30,Outdoor,Clay
31,Outdoor,Clay
32,Outdoor,Clay
33,Outdoor,Grass
34,Outdoor,Grass
35,Outdoor,Grass
36,Outdoor,Grass
37,Outdoor,Grass
38,Outdoor,Grass
39,Outdoor,Grass
40,Outdoor,Clay
41,Outdoor,Hard
42,Outdoor,Clay
43,Outdoor,Hard
44,Outdoor,Clay
45,Outdoor,Clay
46,Outdoor,Clay
47,Outdoor,Hard
48,Outdoor,Hard
49,Outdoor,Hard
50,Outdoor,Hard
51,Outdoor,Hard
52,Indoor,Hard
53,Indoor,Hard
54,Indoor,Hard
55,Outdoor,Hard
56,Outdoor,Hard
57,Outdoor,Hard
58,Outdoor,Hard
59,Indoor,Hard
60,Indoor,Hard
61,Indoor,Hard
62,Indoor,Hard
63,Indoor,Hard
64,Indoor,Hard
65,Indoor,Hard
66,Outdoor,Hard
67,Outdoor,Hard
68,Outdoor,Hard
69,Outdoor,Hard
70,Outdoor,Hard
71,Outdoor,Hard
72,Indoor,Hard
73,Outdoor,Clay
74,Indoor,Hard
75,Outdoor,Clay
76,Indoor,Hard
77,Indoor,Hard
78,Outdoor,Hard
79,Indoor,Hard
80,Outdoor,Clay
81,Outdoor,Hard
82,Outdoor,Hard
83,Outdoor,Clay
84,Outdoor,Hard
85,Outdoor,Hard
86,Outdoor,Clay
87,Outdoor,Clay
88,Outdoor,Clay
89,Outdoor,Clay
90,Outdoor,Clay
91,Outdoor,Clay
92,Outdoor,Clay
93,Outdoor,Clay
94,Outdoor,Clay
95,Outdoor,Clay
96,Outdoor,Clay
97,Outdoor,Clay
98,Outdoor,Clay
99,Outdoor,Grass
100,Outdoor,Grass
101,Outdoor,Grass
102,Outdoor,Grass
103,Outdoor,Grass
104,Outdoor,Grass
105,Outdoor,Clay
106,Outdoor,Clay
107,Outdoor,Grass
108,Outdoor,Clay
109,Outdoor,Clay
110,Outdoor,Clay
111,Outdoor,Hard
112,Outdoor,Hard
113,Outdoor,Hard
114,Outdoor,Hard
115,Outdoor,Hard
116,Outdoor,Hard
117,Outdoor,Hard
118,Outdoor,Hard
119,Indoor,Hard
120,Indoor,Hard
121,Outdoor,Hard
122,Outdoor,Hard
123,Outdoor,Hard
124,Outdoor,Hard
125,Outdoor,Hard
126,Indoor,Hard
127,Indoor,Hard
128,Indoor,Hard
129,Indoor,Hard
130,Indoor,Hard
131,Indoor,Hard
132,Indoor,Hard
133,Outdoor,Hard
134,Outdoor,Hard
135,Outdoor,Hard
136,Outdoor,Hard
137,Outdoor,Hard
138,Outdoor,Hard
139,Indoor,Hard
140,Outdoor,Clay
141,Indoor,Hard
142,Outdoor,Clay
143,Indoor,Hard
144,Indoor,Hard
145,Outdoor,Hard
146,Indoor,Hard
147,Outdoor,Clay
148,Outdoor,Hard
149,Outdoor,Hard
150,Outdoor,Clay
151,Outdoor,Hard
152,Outdoor,Hard
153,Outdoor,Clay
154,Outdoor,Clay
155,Outdoor,Clay
156,Outdoor,Clay
157,Outdoor,Clay
158,Outdoor,Clay
159,Outdoor,Clay
160,Outdoor,Clay
161,Outdoor,Clay
162,Outdoor,Clay
163,Outdoor,Clay
164,Outdoor,Clay
165,Outdoor,Clay
166,Outdoor,Grass
167,Outdoor,Grass
168,Outdoor,Grass
169,Outdoor,Grass
170,Outdoor,Grass
171,Outdoor,Grass
172,Outdoor,Grass
173,Outdoor,Clay
174,Outdoor,Grass
175,Outdoor,Clay
176,Outdoor,Hard
177,Outdoor,Clay
178,Outdoor,Clay
179,Outdoor,Clay
180,Outdoor,Hard
181,Outdoor,Hard
182,Outdoor,Hard
183,Outdoor,Hard
184,Outdoor,Hard
185,Outdoor,Hard
186,Indoor,Hard
187,Indoor,Hard
188,Outdoor,Hard
189,Outdoor,Hard
190,Outdoor,Hard
191,Outdoor,Hard
192,Outdoor,Hard
193,Indoor,Hard
194,Indoor,Hard
195,Indoor,Hard
196,Indoor,Hard
197,Indoor,Hard
198,Indoor,Hard
199,Indoor,Hard
