comment_count,heat,likes,tags,year,month,weekday,hour,createtime
793,44728,43935,[],2018,4,1,9,2018-04-02 09:56:25
136,32513,32377,[],2018,4,0,16,2018-04-01 16:49:47
86,27640,27554,[],2018,4,0,16,2018-04-01 16:26:08
231,38403,38172,['ATPMasters1000'],2018,4,0,15,2018-04-01 15:45:23
113,24775,24662,[],2018,4,0,15,2018-04-01 15:20:04
47,22430,22383,['MiamiOpen'],2018,4,0,14,2018-04-01 14:25:45
37,15728,15691,[],2018,3,6,18,2018-03-31 18:32:14
170,22209,22039,['MiamiOpen'],2018,3,5,19,2018-03-30 19:31:03
42,19500,19458,[],2018,3,5,17,2018-03-30 17:06:00
167,29851,29684,[],2018,3,5,16,2018-03-30 16:47:33
109,15035,14926,['MiamiOpen'],2018,3,4,20,2018-03-29 20:27:09
76,20788,20712,[],2018,3,4,20,2018-03-29 20:11:45
204,25497,25293,[],2018,3,4,14,2018-03-29 14:52:34
233,22109,21876,[],2018,3,3,19,2018-03-28 19:07:41
194,19778,19584,"['instasport', 'hype', 'saschazverev', 'nickkyrgios', 'miamiopen', 'kyrgios', 'atp', 'tennistv', 'Repost', 'tennis', 'miami', 'sports']",2018,3,2,19,2018-03-27 19:50:04
17,8277,8260,"['instasport', 'nba', 'nickkyrgios', '305', 'miamiopen', 'kyrgios', 'atp', 'tennistv', 'Repost', 'msdstrong', 'tennis', 'atpworldtour', 'celtics']",2018,3,1,16,2018-03-26 16:25:15
76,9437,9361,[],2018,3,1,14,2018-03-26 14:57:33
18,10178,10160,"['hayward', 'miamiopen', 'kyrgios', 'atp', 'msdstrong', 'tennis']",2018,3,0,18,2018-03-25 18:14:59
157,25620,25463,[],2018,3,6,21,2018-03-24 21:25:40
142,25878,25736,[],2018,3,6,19,2018-03-24 19:59:35
18,9252,9234,[],2018,3,6,19,2018-03-24 19:28:47
374,25703,25329,"['instasport', 'atpworldtour', 'miamiopen', 'tennistv', 'atp', 'Repost', 'hotshot', 'tennis', 'miami', 'sports', 'federer', 'rogerfederer']",2018,3,6,18,2018-03-24 18:44:57
352,36219,35867,[],2018,3,6,18,2018-03-24 18:40:35
32,20627,20595,[],2018,3,6,13,2018-03-24 13:56:57
774,40404,39630,"['instasport', 'delpotro', 'miamiopen', 'tennistv', 'atp', 'Repost', 'hotshot', 'tennis', 'miami', 'sports', 'atpworldtour', 'delpo', 'sport']",2018,3,5,22,2018-03-23 22:18:59
66,12677,12611,"['instasport', '305', 'crandonpark', 'miamiopen', 'tennistv', 'Repost', 'tennis', 'raonic', 'milosraonic']",2018,3,5,17,2018-03-23 17:36:45
245,30100,29855,[],2018,3,5,17,2018-03-23 17:34:16
129,15003,14874,[],2018,3,5,12,2018-03-23 12:08:28
32,11305,11273,[],2018,3,4,19,2018-03-22 19:37:51
38,19132,19094,[],2018,3,4,11,2018-03-22 11:24:22
41,10596,10555,[],2018,3,4,10,2018-03-22 10:05:07
25,6401,6376,['ThrowbackThursday'],2018,3,4,9,2018-03-22 09:03:10
77,13940,13863,"['instasport', 'lucky', 'miamiopen', 'tennistv', 'atp', 'Repost', 'tennis', 'miami', 'sports', 'atpworldtour', 'funny']",2018,3,3,18,2018-03-21 18:49:05
40,10301,10261,[],2018,3,3,16,2018-03-21 16:21:44
64,21428,21364,[],2018,3,3,15,2018-03-21 15:24:41
103,14451,14348,['MiamiOpen'],2018,3,3,13,2018-03-21 13:00:59
60,23864,23804,[],2018,3,3,8,2018-03-21 08:00:20
24,10619,10595,[],2018,3,2,16,2018-03-20 16:31:47
81,21092,21011,['MiamiOpen'],2018,3,2,15,2018-03-20 15:49:28
27,8899,8872,[],2018,3,2,15,2018-03-20 15:20:30
152,37570,37418,['MondayMotivation'],2018,3,1,13,2018-03-19 13:06:30
603,61437,60834,[],2018,3,0,20,2018-03-18 20:26:30
188,46601,46413,[],2018,3,0,19,2018-03-18 19:59:33
133,29648,29515,[],2018,3,0,19,2018-03-18 19:28:41
754,62760,62006,['ATPMasters1000'],2018,3,0,18,2018-03-18 18:56:29
127,25410,25283,['ATPMasters1000'],2018,3,0,18,2018-03-18 18:17:56
227,41444,41217,['BNPPO18'],2018,3,0,17,2018-03-18 17:57:13
67,17026,16959,"['BNPPO18', 'TennisParadise']",2018,3,0,17,2018-03-18 17:52:15
162,17333,17171,"['instasport', 'bnpparibasopen', 'indianwells', 'doubles', 'tennistv', 'atp', 'Repost', 'hotshot', 'tennis', 'atpworldtour', 'BNPPPO18', 'sport']",2018,3,0,15,2018-03-18 15:14:23
44,11795,11751,['BNPPO18'],2018,3,0,15,2018-03-18 15:07:38
92,27404,27312,"['Isner', 'bnppo18', 'champions', 'doubles', 'tennis', 'ATP', 'Sock']",2018,3,6,22,2018-03-17 22:59:42
86,35513,35427,"['Laver', 'bnppo18', 'Tennis', 'IndianWells', 'ATP', 'Federer']",2018,3,6,17,2018-03-17 17:40:52
179,40251,40072,[],2018,3,6,16,2018-03-17 16:42:13
132,16604,16472,['SaintPatricksDay'],2018,3,6,9,2018-03-17 09:49:18
115,29774,29659,[],2018,3,5,19,2018-03-16 19:52:47
76,18070,17994,[],2018,3,5,17,2018-03-16 17:22:36
106,18443,18337,"['BNPPO18', 'Haasome', 'FlashbackFriday']",2018,3,5,15,2018-03-16 15:12:06
106,22165,22059,['ATPMasters1000'],2018,3,4,18,2018-03-15 18:50:15
80,14719,14639,[],2018,3,4,15,2018-03-15 15:55:51
79,14894,14815,"['bnpparibasopen', 'indianwells', 'tennistv', 'atp', 'Repost', 'tennis', 'chung', 'BNPPO18', 'atpworldtour']",2018,3,3,19,2018-03-14 19:17:45
71,21863,21792,['NationalPiDay'],2018,3,3,15,2018-03-14 15:13:53
68,24572,24504,[],2018,3,0,20,2018-03-11 20:46:34
114,22527,22413,[],2018,3,0,19,2018-03-11 19:52:12
118,19018,18900,[],2018,3,0,19,2018-03-11 19:16:29
39,8905,8866,[],2018,3,0,15,2018-03-11 15:32:54
43,17147,17104,['NittoATPFinals'],2018,3,0,4,2018-03-11 04:17:37
868,43058,42190,"['tennis', 'Dimitrov', 'BNPPO18', 'ATP']",2018,3,6,22,2018-03-10 22:19:53
81,14229,14148,[],2018,3,6,21,2018-03-10 21:25:31
193,17097,16904,"['TennisParadise', 'throwback', 'tennis', 'BNPPO18', 'ATP']",2018,3,6,18,2018-03-10 18:19:53
37,14259,14222,['BNPPO18'],2018,3,6,16,2018-03-10 16:48:44
119,18156,18037,"['bnppo18', 'Tennis', 'doubles', 'Repost', 'ATP']",2018,3,6,11,2018-03-10 11:23:57
68,10061,9993,"['bnpparibasopen', 'doubles', 'Repost', 'Doubles', 'tennis', 'BNPPO18', 'ATP']",2018,3,6,0,2018-03-10 00:43:57
