match_id,tourney_year_id,tourney_round_name,round_order,match_order,winner_player_id,loser_player_id,winner_seed,loser_seed,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won
2015-339-f324-r975,2015-339,Finals,1,1,f324,r975,1,3,64 67(2) 64,2,1,18,15,0,1
2015-339-f324-d875,2015-339,Semi-Finals,2,1,f324,d875,1,4,62 62,2,0,12,4,0,0
2015-339-r975-n552,2015-339,Semi-Finals,2,2,r975,n552,3,2,67(4) 76(4) 76(4),2,1,20,19,2,1
2015-339-f324-d994,2015-339,Quarter-Finals,3,1,f324,d994,1,WC,60 61,2,0,12,1,0,0
2015-339-n552-ta46,2015-339,Quarter-Finals,3,2,n552,ta46,2,,60 64,2,0,12,4,0,0
2015-339-r975-g940,2015-339,Quarter-Finals,3,3,r975,g940,3,,76(5) 36 76(2),2,1,17,18,2,0
2015-339-d875-k966,2015-339,Quarter-Finals,3,4,d875,k966,4,,63 64,2,0,12,7,0,0
2015-339-f324-mh30,2015-339,Round of 16,4,1,f324,mh30,1,WC,46 64 63,2,1,16,13,0,0
2015-339-n552-j386,2015-339,Round of 16,4,2,n552,j386,2,,64 75,2,0,13,9,0,0
2015-339-r975-k926,2015-339,Round of 16,4,3,r975,k926,3,,63 64,2,0,12,7,0,0
2015-339-d875-ca12,2015-339,Round of 16,4,4,d875,ca12,4,,36 64 76(8),2,1,16,16,1,0
2015-339-k966-d801,2015-339,Round of 16,4,5,k966,d801,,7,16 76(6) 76(7),2,1,15,18,2,0
2015-339-d994-n289,2015-339,Round of 16,4,6,d994,n289,WC,,46 76(5) 63,2,1,17,15,1,0
2015-339-g940-k540,2015-339,Round of 16,4,7,g940,k540,,Q,64 67(2) 76(3),2,1,19,17,1,1
2015-339-ta46-kd46,2015-339,Round of 16,4,8,ta46,kd46,,WC,76(2) 61,2,0,13,7,1,0
2015-339-k540-a678,2015-339,Round of 32,5,1,k540,a678,Q,5,76(3) 64,2,0,13,10,1,0
2015-339-d994-sd32,2015-339,Round of 32,5,2,d994,sd32,WC,6,62 62,2,0,12,4,0,0
2015-339-d801-b884,2015-339,Round of 32,5,3,d801,b884,7,,62 63,2,0,12,5,0,0
2015-339-kd46-b747,2015-339,Round of 32,5,4,kd46,b747,WC,8,64 63,2,0,12,7,0,0
2015-339-ca12-g806,2015-339,Round of 32,5,5,ca12,g806,,,64 64,2,0,12,8,0,0
2015-339-g940-h432,2015-339,Round of 32,5,6,g940,h432,,,63 62,2,0,12,5,0,0
2015-339-j386-me05,2015-339,Round of 32,5,7,j386,me05,,,26 76(0) 75,2,1,16,17,1,0
2015-339-k966-m762,2015-339,Round of 32,5,8,k966,m762,,PR,67(5) 76(6) 61,2,1,19,14,1,1
2015-339-k926-ca99,2015-339,Round of 32,5,9,k926,ca99,,Q,64 46 64,2,1,16,14,0,0
2015-339-mh30-w522,2015-339,Round of 32,5,10,mh30,w522,WC,Q,63 61,2,0,12,4,0,0
2015-339-n289-kb09,2015-339,Round of 32,5,11,n289,kb09,,Q,46 61 64,2,1,16,11,0,0
2015-339-ta46-q927,2015-339,Round of 32,5,12,ta46,q927,,,75 76(5),2,0,14,11,1,0
2015-339-kb09-t840,2015-339,3rd Round Qualifying,6,1,kb09,t840,6,2,64 62,2,0,12,6,0,0
2015-339-ca99-k771,2015-339,3rd Round Qualifying,6,2,ca99,k771,,3,62 63,2,0,12,5,0,0
2015-339-k540-d499,2015-339,3rd Round Qualifying,6,3,k540,d499,,,63 62,2,0,12,5,0,0
2015-339-w522-r977,2015-339,3rd Round Qualifying,6,4,w522,r977,,,63 64,2,0,12,7,0,0
2015-339-d499-k839,2015-339,2nd Round Qualifying,7,1,d499,k839,,1,75 63,2,0,13,8,0,0
2015-339-t840-mf36,2015-339,2nd Round Qualifying,7,2,t840,mf36,2,,76(5) 26 76(11),2,1,16,18,2,0
2015-339-k771-ma38,2015-339,2nd Round Qualifying,7,3,k771,ma38,3,,64 36 75,2,1,16,15,0,0
2015-339-w522-h996,2015-339,2nd Round Qualifying,7,4,w522,h996,,4,63 61,2,0,12,4,0,0
2015-339-ca99-sf62,2015-339,2nd Round Qualifying,7,5,ca99,sf62,,5,63 76(3),2,0,13,9,1,0
2015-339-kb09-da81,2015-339,2nd Round Qualifying,7,6,kb09,da81,6,,36 75 63,2,1,16,14,0,0
2015-339-r977-gb93,2015-339,2nd Round Qualifying,7,7,r977,gb93,,7,36 76(11) 76(3),2,1,17,18,2,0
2015-339-k540-u134,2015-339,2nd Round Qualifying,7,8,k540,u134,,,64 67(4) 62,2,1,18,13,0,1
2015-339-k839-mm79,2015-339,1st Round Qualifying,8,1,k839,mm79,1,WC,46 75 62,2,1,17,13,0,0
2015-339-t840-bh87,2015-339,1st Round Qualifying,8,2,t840,bh87,2,WC,63 76(4),2,0,13,9,1,0
2015-339-k771-kc04,2015-339,1st Round Qualifying,8,3,k771,kc04,3,,46 75 62,2,1,17,13,0,0
2015-339-h996-z355,2015-339,1st Round Qualifying,8,4,h996,z355,4,,76(2) 64,2,0,13,10,1,0
2015-339-sf62-g569,2015-339,1st Round Qualifying,8,5,sf62,g569,5,,61 61,2,0,12,2,0,0
2015-339-kb09-pc29,2015-339,1st Round Qualifying,8,6,kb09,pc29,6,WC,62 64,2,0,12,6,0,0
2015-339-gb93-la93,2015-339,1st Round Qualifying,8,7,gb93,la93,7,,67(5) 62 64,2,1,18,13,0,1
2015-339-u134-pf39,2015-339,1st Round Qualifying,8,8,u134,pf39,,8,63 62,2,0,12,5,0,0
2015-339-ca99-a622,2015-339,1st Round Qualifying,8,9,ca99,a622,,,16 63 62,2,1,13,11,0,0
2015-339-d499-bj05,2015-339,1st Round Qualifying,8,10,d499,bj05,,WC,76(3) 46 61,2,1,17,13,1,0
2015-339-da81-v564,2015-339,1st Round Qualifying,8,11,da81,v564,,,64 63,2,0,12,7,0,0
2015-339-k540-k737,2015-339,1st Round Qualifying,8,12,k540,k737,,,63 62,2,0,12,5,0,0
2015-339-mf36-p701,2015-339,1st Round Qualifying,8,13,mf36,p701,,,36 63 64,2,1,15,13,0,0
2015-339-ma38-mj01,2015-339,1st Round Qualifying,8,14,ma38,mj01,,,76(3) 67(2) 75,2,1,20,18,1,1
2015-339-r977-pb37,2015-339,1st Round Qualifying,8,15,r977,pb37,,,64 76(5),2,0,13,10,1,0
2015-339-w522-h442,2015-339,1st Round Qualifying,8,16,w522,h442,,,76(5) 63,2,0,13,9,1,0
2015-891-w367-bh09,2015-891,Finals,1,1,w367,bh09,1,Q,63 64,2,0,12,7,0,0
2015-891-w367-gb88,2015-891,Semi-Finals,2,1,w367,gb88,1,4,75 63,2,0,13,8,0,0
2015-891-bh09-bd06,2015-891,Semi-Finals,2,2,bh09,bd06,Q,3,36 63 76(8),2,1,16,15,1,0
2015-891-w367-ma30,2015-891,Quarter-Finals,3,1,w367,ma30,1,8,62 76(4),2,0,13,8,1,0
2015-891-bd06-l575,2015-891,Quarter-Finals,3,2,bd06,l575,3,6,76(7) 64,2,0,13,10,1,0
2015-891-gb88-h804,2015-891,Quarter-Finals,3,3,gb88,h804,4,,75 62,2,0,13,7,0,0
2015-891-bh09-g476,2015-891,Quarter-Finals,3,4,bh09,g476,Q,5,26 63 62,2,1,14,11,0,0
2015-891-w367-cg80,2015-891,Round of 16,4,1,w367,cg80,1,,61 64,2,0,12,5,0,0
2015-891-bh09-l397,2015-891,Round of 16,4,2,bh09,l397,Q,2,64 64,2,0,12,8,0,0
2015-891-bd06-g967,2015-891,Round of 16,4,3,bd06,g967,3,,63 62,2,0,12,5,0,0
2015-891-gb88-be90,2015-891,Round of 16,4,4,gb88,be90,4,,60 46 76(1),2,1,17,12,1,0
2015-891-g476-i230,2015-891,Round of 16,4,5,g476,i230,5,,67(1) 62 60,2,1,18,9,0,1
2015-891-l575-cd85,2015-891,Round of 16,4,6,l575,cd85,6,,64 64,2,0,12,8,0,0
2015-891-ma30-y218,2015-891,Round of 16,4,7,ma30,y218,8,WC,64 63,2,0,12,7,0,0
2015-891-h804-v708,2015-891,Round of 16,4,8,h804,v708,,,67(3) 64 64,2,1,18,15,0,1
2015-891-g476-d864,2015-891,Round of 32,5,1,g476,d864,5,Q,67(3) 62 63,2,1,18,12,0,1
2015-891-l575-d616,2015-891,Round of 32,5,2,l575,d616,6,WC,63 64,2,0,12,7,0,0
2015-891-h804-g710,2015-891,Round of 32,5,3,h804,g710,,7,36 76(6) 20 (RET),2,1,12,12,1,0
2015-891-ma30-r613,2015-891,Round of 32,5,4,ma30,r613,8,,67(11) 61 76(3),2,1,19,14,1,1
2015-891-bh09-l797,2015-891,Round of 32,5,5,bh09,l797,Q,,76(0) 63,2,0,13,9,1,0
2015-891-be90-v495,2015-891,Round of 32,5,6,be90,v495,,Q,61 26 75,2,1,15,12,0,0
2015-891-cd85-g892,2015-891,Round of 32,5,7,cd85,g892,,,61 63,2,0,12,4,0,0
2015-891-cg80-h756,2015-891,Round of 32,5,8,cg80,h756,,,62 62,2,0,12,4,0,0
2015-891-g967-f444,2015-891,Round of 32,5,9,g967,f444,,,60 61,2,0,12,1,0,0
2015-891-i230-rb56,2015-891,Round of 32,5,10,i230,rb56,,WC,63 63,2,0,12,6,0,0
2015-891-v708-pa97,2015-891,Round of 32,5,11,v708,pa97,,Q,62 61,2,0,12,3,0,0
