tourney_year_id,tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,singles_winner_player_id,doubles_winner_1_player_id,doubles_winner_2_player_id,court_id
2015-339,2015,1,Brisbane,339.0,brisbane,"Brisbane, Australia",2015.01.04,f324,mc81,pc96,1
2015-891,2015,2,Chennai,891.0,chennai,"Chennai, India",2015.01.05,w367,l575,m983,2
2015-451,2015,3,Doha,451.0,doha,"Doha, Qatar",2015.01.05,f401,ma21,n409,3
2015-338,2015,4,Sydney,338.0,sydney,"Sydney, Australia",2015.01.11,t840,b757,n210,4
2015-301,2015,5,Auckland,301.0,auckland,"Auckland, New Zealand",2015.01.12,v708,k609,p269,5
2015-580,2015,6,Australian Open,580.0,australian-open,"Melbourne, Australia",2015.01.19,d643,ba98,f510,6
2015-375,2015,7,Montpellier,375.0,montpellier,"Montpellier, France",2015.02.02,g628,d763,sd23,7
2015-7161,2015,8,Quito,7161.0,quito,"Quito, Ecuador",2015.02.02,e224,k719,sb34,8
2015-2276,2015,9,Zagreb,2276.0,zagreb,"Zagreb, Croatia",2015.02.02,g476,d934,ka80,9
2015-402,2015,10,Memphis,402.0,memphis,"Memphis, United States",2015.02.09,n552,f364,g551,10
2015-407,2015,11,Rotterdam,407.0,rotterdam,"Rotterdam, Netherlands",2015.02.09,w367,r513,t749,11
2015-533,2015,12,Sao Paulo,533.0,sao-paulo,"Sao Paulo, Brazil",2015.02.09,c882,c834,f525,12
2015-499,2015,13,Delray Beach,499.0,delray-beach,"Delray Beach, United States",2015.02.16,k336,b588,b589,13
2015-496,2015,14,Marseille,496.0,marseille,"Marseille, France",2015.02.16,sd32,d934,ka80,14
2015-6932,2015,15,Rio de Janeiro,6932.0,rio-de-janeiro,"Rio de Janeiro, Brazil",2015.02.16,f401,k966,o305,15
2015-807,2015,16,Acapulco,807.0,acapulco,"Acapulco, Mexico",2015.02.23,f401,d646,m919,16
2015-506,2015,17,Buenos Aires,506.0,buenos-aires,"Buenos Aires, Argentina",2015.02.23,n409,n289,s604,17
2015-495,2015,18,Dubai,495.0,dubai,"Dubai, United Arab Emirates",2015.02.23,f324,b757,n210,18
2015-404,2015,19,ATP World Tour Masters 1000 Indian Wells,404.0,indian-wells,"Indian Wells, United States",2015.03.12,d643,pd07,sm25,19
2015-403,2015,20,ATP World Tour Masters 1000 Miami,403.0,miami,"Miami, United States",2015.03.25,d643,b588,b589,20
2015-360,2015,21,Casablanca,360.0,marrakech,"Casablanca, Morocco",2015.04.06,k966,j230,sb92,21
2015-717,2015,22,Houston,717.0,houston,"Houston, United States",2015.04.06,sm25,be90,g681,22
2015-410,2015,23,ATP World Tour Masters 1000 Monte Carlo,410.0,monte-carlo,"Monte-Carlo, Monaco",2015.04.12,d643,b588,b589,23
2015-425,2015,24,Barcelona,425.0,barcelona,"Barcelona, Spain",2015.04.20,n552,d934,ka80,24
2015-773,2015,25,Bucharest,773.0,bucharest,"Bucharest, Romania",2015.04.20,g476,ca99,u061,25
2015-7290,2015,26,Estoril,7290.0,estoril,"Estoril, Portugal",2015.04.27,g628,h788,l580,26
2015-7163,2015,27,Istanbul,7163.0,istanbul,"Istanbul, Turkey",2015.04.27,f324,a829,l987,27
2015-308,2015,28,Munich,308.0,munich,"Munich, Germany",2015.04.27,mc10,p467,s938,28
2015-1536,2015,29,ATP World Tour Masters 1000 Madrid,1536.0,madrid,"Madrid, Spain",2015.05.03,mc10,b757,mb27,29
2015-416,2015,30,ATP World Tour Masters 1000 Rome,416.0,rome,"Rome, Italy",2015.05.10,d643,c882,m984,30
2015-322,2015,31,Geneva,322.0,geneva,"Geneva, Switzerland",2015.05.17,bd20,c834,f525,31
2015-520,2015,33,Roland Garros,520.0,roland-garros,"Paris, France",2015.05.24,w367,d646,m919,32
2015-440,2015,34,s-Hertogenbosch,440.0,s-hertogenbosch,"s-Hertogenbosch, Netherlands",2015.06.08,m873,k336,k540,33
2015-321,2015,35,Stuttgart,321.0,stuttgart,"Stuttgart, Germany",2015.06.08,n409,b757,mb27,34
2015-500,2015,36,Halle,500.0,halle,"Halle, Germany",2015.06.15,f324,k609,r548,35
2015-311,2015,37,London / Queen's Club,311.0,london,"London, Great Britain",2015.06.15,mc10,h996,m873,36
2015-741,2015,38,Nottingham,741.0,eastbourne,"Nottingham, Great Britain",2015.06.21,i165,g621,s604,37
2015-540,2015,39,Wimbledon,540.0,wimbledon,"London, Great Britain",2015.06.29,d643,r513,t749,38
2015-315,2015,40,Newport,315.0,newport,"Newport, United States",2015.07.13,r548,m983,q019,39
2015-316,2015,41,Bastad,316.0,bastad,"Bastad, Sweden",2015.07.20,pd31,ca12,k540,40
2015-6718,2015,42,Bogota,6718.0,bogota,"Bogota, Colombia",2015.07.20,ta46,r613,s694,41
2015-439,2015,43,Umag,439.0,umag,"Umag, Croatia",2015.07.20,tb69,g585,s604,42
2015-6116,2015,44,Atlanta,6116.0,atlanta,"Atlanta, United States",2015.07.27,i186,b588,b589,43
2015-314,2015,45,Gstaad,314.0,gstaad,"Gstaad, Switzerland",2015.07.27,tb69,bd83,i165,44
2015-414,2015,46,Hamburg,414.0,hamburg,"Hamburg, Germany",2015.07.27,n409,mc81,pc96,45
2015-319,2015,47,Kitzbühel,319.0,kitzbuhel,"Kitzbuhel, Austria",2015.08.03,k435,a479,b884,46
2015-418,2015,48,Washington,418.0,washington,"Washington, United States",2015.08.03,n552,b588,b589,47
2015-421,2015,49,ATP World Tour Masters 1000 Canada,421.0,montreal,"Montreal, Canada",2015.08.10,mc10,b588,b589,48
2015-422,2015,50,ATP World Tour Masters 1000 Cincinnati,422.0,cincinnati,"Cincinnati, United States",2015.08.16,f324,n210,r613,49
2015-6242,2015,51,Winston-Salem,6242.0,winston-salem,"Winston-Salem, United States",2015.08.23,a678,i200,l335,50
2015-560,2015,52,US Open,560.0,us-open,"New York, United States",2015.08.31,d643,h996,m873,51
2015-341,2015,53,Metz,341.0,metz,"Metz, France",2015.09.21,t786,k540,r613,52
2015-568,2015,54,St. Petersburg,568.0,st-petersburg,"St. Petersburg, Russia",2015.09.21,r975,h788,ka80,53
2015-6003,2015,55,Kuala Lumpur,6003.0,kuala-lumpur,"Kuala Lumpur, Malaysia",2015.09.28,f401,h788,ka80,54
2015-6967,2015,56,Shenzhen,6967.0,shenzhen,"Shenzhen, China",2015.09.28,ba47,e152,f454,55
2015-747,2015,57,Beijing,747.0,beijing,"Beijing, China",2015.10.05,d643,pd07,sm25,56
2015-329,2015,58,Tokyo,329.0,tokyo,"Tokyo, Japan",2015.10.05,w367,k609,m919,57
2015-5014,2015,59,ATP World Tour Masters 1000 Shanghai,5014.0,shanghai,"Shanghai, China",2015.10.11,d643,k609,m919,58
2015-438,2015,60,Moscow,438.0,moscow,"Moscow, Russia",2015.10.19,c977,re44,t315,59
