TimeID,Sea.Level.PressurehPa,VisibilityKm,Wind.Direction,Wind.SpeedKm.h,Gust.SpeedKm.h
1,1017.9,16.1,Variable,7.4,0
2,1017.8,16.1,Variable,5.6,0
3,1017.7,16.1,West,7.4,0
4,1017.7,16.1,West,14.8,0
5,1017,16.1,West,16.7,25.9
6,1017.5,16.1,WNW,11.1,0
7,1017.7,16.1,Calm,0,0
8,1017.6,16.1,West,11.1,0
9,1018,16.1,West,11.1,0
10,1018,16.1,WNW,7.4,0
11,1017.4,16.1,Variable,9.3,31.5
12,1016.4,16.1,West,14.8,0
13,1015.4,16.1,West,22.2,31.5
14,1014.9,16.1,Variable,11.1,35.2
15,1015,16.1,WNW,18.5,42.6
16,1014.9,16.1,North,0,0
17,1014.8,16.1,West,18.5,29.6
18,1015.3,16.1,WNW,13,31.5
19,1015.9,16.1,WNW,20.4,29.6
20,1016.5,16.1,West,14.8,25.9
21,1016.8,16.1,WNW,11.1,0
22,1016.6,16.1,North,0,0
23,1016.7,16.1,Variable,9.3,0
24,1016.8,16.1,West,14.8,31.5
25,1016.6,16.1,Variable,9.3,29.6
26,1016.6,16.1,West,13,25.9
27,1017.3,16.1,WNW,13,0
28,1016.9,16.1,West,22.2,33.3
29,1017.1,16.1,West,16.7,25.9
30,1017.4,16.1,West,14.8,0
31,1017.9,16.1,Calm,0,0
32,1018.3,16.1,West,7.4,0
33,1018.8,16.1,West,11.1,0
34,1019.2,16.1,Variable,9.3,0
35,1018.5,16.1,Variable,9.3,0
36,1017.5,16.1,Variable,7.4,25.9
37,1016.1,16.1,WNW,13,0
38,1015.5,16.1,WSW,13,0
39,1015.1,16.1,WNW,14.8,27.8
40,1015.4,16.1,WNW,11.1,0
41,1015.7,16.1,Variable,11.1,0
42,1016.1,16.1,NW,9.3,27.8
43,1016.3,16.1,Calm,0,0
44,1016.2,16.1,WNW,11.1,0
45,1015.8,16.1,WSW,7.4,0
46,1015.3,16.1,North,0,0
47,1014.8,16.1,Variable,11.1,0
48,1014.4,16.1,WSW,13,0
49,1013.6,16.1,Calm,0,0
50,1013,16.1,West,18.5,0
51,1012.2,16.1,WSW,11.1,25.9
52,1011.1,16.1,North,0,0
53,1011.1,16.1,Variable,11.1,38.9
54,1010.4,16.1,Variable,7.4,0
55,1010.7,16.1,WSW,7.4,0
56,1010.8,16.1,Variable,7.4,0
57,1010.8,16.1,WSW,16.7,27.8
58,1010.9,16.1,North,0,0
59,1010.2,16.1,Variable,9.3,25.9
60,1009.2,16.1,WNW,18.5,35.2
61,1008.7,16.1,North,0,0
62,1009.1,16.1,West,13,29.6
63,1009.5,16.1,NW,16.7,33.3
64,1009.8,16.1,West,14.8,25.9
65,1010.3,16.1,WNW,18.5,0
66,1010.9,16.1,WNW,11.1,0
67,1011.7,16.1,West,14.8,0
68,1012.1,16.1,WNW,13,0
69,1011.6,16.1,WNW,16.7,0
70,1011.9,16.1,West,14.8,0
71,1012,16.1,West,14.8,0
72,1011.8,16.1,Variable,11.1,0
73,1011.5,16.1,Variable,7.4,0
74,1011.9,16.1,Variable,9.3,0
75,1012.3,16.1,Variable,5.6,0
76,1012.1,16.1,Variable,7.4,0
77,1012.4,16.1,NW,14.8,31.5
78,1013.6,16.1,NW,16.7,33.3
79,1014.6,16.1,NW,18.5,33.3
80,1015.2,16.1,Variable,11.1,0
81,1016.2,16.1,Variable,11.1,0
82,1017.1,16.1,Variable,7.4,0
83,1017,16.1,WNW,18.5,31.5
84,1016.6,16.1,NW,14.8,0
85,1016.3,16.1,North,0,0
86,1016.6,16.1,Variable,7.4,37
87,1017.5,16.1,Variable,9.3,31.5
88,1018.7,16.1,NE,18.5,33.3
89,1020.4,16.1,NNE,18.5,35.2
90,1022,16.1,NNE,20.4,40.7
91,1023.6,16.1,North,0,0
92,1024.8,16.1,North,20.4,38.9
93,1025.7,16.1,North,16.7,40.7
94,1026.5,16.1,North,14.8,33.3
95,1031.5,16.1,Variable,7.4,33.3
96,1031.7,16.1,Variable,11.1,37
97,1032.1,16.1,Variable,7.4,37
98,1033.3,16.1,NNE,16.7,33.3
99,1034.1,16.1,North,0,0
100,1034.2,16.1,Variable,9.3,0
101,1035.6,16.1,North,20.4,31.5
