TimeID,Precipitationmm,Events,Conditions,WindDirDegrees
1,0,Normal,Overcast,0
2,0,Normal,Overcast,0
3,0,Normal,Overcast,280
4,0,Normal,Overcast,280
5,0,Normal,Overcast,270
6,0,Normal,Overcast,290
7,0,Normal,Overcast,0
8,0,Normal,Overcast,280
9,0,Normal,Partly Cloudy,260
10,0,Normal,Overcast,290
11,0,Normal,Overcast,0
12,0,Normal,Overcast,270
13,0,Normal,Overcast,280
14,0,Normal,Overcast,0
15,0,Normal,Overcast,290
16,0,Normal,Overcast,0
17,0,Normal,Clear,280
18,0,Normal,Clear,300
19,0,Normal,Partly Cloudy,290
20,0,Normal,Clear,280
21,0,Normal,Clear,290
22,0,Normal,Clear,0
23,0,Normal,Clear,0
24,0,Normal,Clear,270
25,0,Normal,Mostly Cloudy,0
26,0,Normal,Clear,270
27,0,Normal,Clear,290
28,0,Normal,Clear,280
29,0,Normal,Clear,280
30,0,Normal,Clear,270
31,0,Normal,Scattered Clouds,0
32,0,Normal,Overcast,270
33,0,Normal,Overcast,260
34,0,Normal,Overcast,0
35,0,Normal,Overcast,0
36,0,Normal,Scattered Clouds,0
37,0,Normal,Scattered Clouds,290
38,0,Normal,Clear,250
39,0,Normal,Clear,290
40,0,Normal,Overcast,290
41,0,Normal,Overcast,0
42,0,Normal,Clear,310
43,0,Normal,Clear,0
44,0,Normal,Clear,290
45,0,Normal,Clear,240
46,0,Normal,Clear,0
47,0,Normal,Clear,0
48,0,Normal,Clear,250
49,0,Normal,Clear,0
50,0,Normal,Clear,260
51,0,Normal,Clear,240
52,0,Normal,Clear,0
53,0,Normal,Clear,0
54,0,Normal,Clear,0
55,0,Normal,Clear,250
56,0,Normal,Clear,0
57,0,Normal,Clear,240
58,0,Normal,Clear,0
59,0,Normal,Clear,0
60,0,Normal,Clear,290
61,0,Normal,Clear,0
62,0,Normal,Clear,280
63,0,Normal,Mostly Cloudy,310
64,0,Normal,Clear,280
65,0,Normal,Overcast,290
66,0,Normal,Mostly Cloudy,290
67,0,Normal,Clear,280
68,0,Normal,Clear,290
69,0,Normal,Clear,290
70,0,Normal,Clear,280
71,0,Normal,Partly Cloudy,280
72,0,Normal,Partly Cloudy,0
73,0,Normal,Partly Cloudy,0
74,0,Normal,Overcast,0
75,0,Normal,Overcast,0
76,0,Normal,Overcast,0
77,0,Normal,Overcast,310
78,0,Normal,Partly Cloudy,310
79,0,Normal,Mostly Cloudy,310
80,0,Normal,Overcast,0
81,0,Normal,Overcast,0
82,0,Normal,Partly Cloudy,0
83,0,Normal,Clear,300
84,0,Normal,Clear,320
85,0,Normal,Clear,0
86,0,Normal,Clear,0
87,0,Normal,Clear,0
88,0,Normal,Clear,40
89,0,Normal,Clear,30
90,0,Normal,Clear,20
91,0,Normal,Clear,0
92,0,Normal,Overcast,10
93,0,Normal,Partly Cloudy,360
94,0,Normal,Clear,350
95,0,Normal,Clear,0
96,0,Normal,Clear,0
97,0,Normal,Clear,0
98,0,Normal,Clear,30
99,0,Normal,Clear,0
100,0,Normal,Clear,0
101,0,Normal,Clear,350
102,0,Normal,Clear,0
103,0,Normal,Clear,0
104,0,Normal,Clear,40
105,0,Normal,Clear,0
106,0,Normal,Clear,0
107,0,Normal,Clear,300
108,0,Normal,Clear,0
109,0,Normal,Clear,0
110,0,Normal,Clear,0
111,0,Normal,Clear,0
112,0,Normal,Clear,0
113,0,Normal,Clear,290
114,0,Normal,Clear,0
115,0,Normal,Clear,0
116,0,Normal,Clear,280
117,0,Normal,Clear,290
118,0,Normal,Clear,0
119,0,Normal,Clear,0
120,0,Normal,Clear,320
121,0,Normal,Clear,0
122,0,Normal,Clear,290
123,0,Normal,Clear,0
124,0,Normal,Clear,0
125,0,Normal,Clear,0
126,0,Normal,Clear,0
127,0,Normal,Clear,250
128,0,Normal,Clear,0
129,0,Normal,Clear,0
130,0,Normal,Clear,0
