TimeID,TimeEST,TemperatureC,Dew.PointC,Humidity,Sea.Level.PressurehPa,VisibilityKm,Wind.Direction,Wind.SpeedKm.h,Gust.SpeedKm.h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
1,0:51:00,5.6,-3.9,51,1017.9,16.1,Variable,7.4,0,0,NA,Overcast,0,2016/1/1 5:51
2,1:51:00,5,-3.9,53,1017.8,16.1,Variable,5.6,0,0,NA,Overcast,0,2016/1/1 6:51
3,2:51:00,5,-3.3,55,1017.7,16.1,West,7.4,0,0,NA,Overcast,280,2016/1/1 7:51
4,3:51:00,5,-3.3,55,1017.7,16.1,West,14.8,0,0,NA,Overcast,280,2016/1/1 8:51
5,4:51:00,4.4,-3.3,58,1017,16.1,West,16.7,25.9,0,NA,Overcast,270,2016/1/1 9:51
6,5:51:00,4.4,-3.3,58,1017.5,16.1,WNW,11.1,0,0,NA,Overcast,290,2016/1/1 10:51
7,6:51:00,3.9,-3.3,60,1017.7,16.1,Calm,0,0,0,NA,Overcast,0,2016/1/1 11:51
8,7:51:00,3.9,-3.9,57,1017.6,16.1,West,11.1,0,0,NA,Overcast,280,2016/1/1 12:51
9,8:51:00,3.9,-4.4,55,1018,16.1,West,11.1,0,0,NA,Partly Cloudy,260,2016/1/1 13:51
10,9:51:00,4.4,-3.9,55,1018,16.1,WNW,7.4,0,0,NA,Overcast,290,2016/1/1 14:51
11,10:51:00,4.4,-4.4,53,1017.4,16.1,Variable,9.3,31.5,0,NA,Overcast,0,2016/1/1 15:51
12,11:51:00,4.4,-5,51,1016.4,16.1,West,14.8,0,0,NA,Overcast,270,2016/1/1 16:51
13,12:51:00,4.4,-5,51,1015.4,16.1,West,22.2,31.5,0,NA,Overcast,280,2016/1/1 17:51
14,13:51:00,4.4,-5,51,1014.9,16.1,Variable,11.1,35.2,0,NA,Overcast,0,2016/1/1 18:51
15,14:51:00,3.9,-6.1,49,1015,16.1,WNW,18.5,42.6,0,NA,Overcast,290,2016/1/1 19:51
16,15:51:00,3.9,-6.7,46,1014.9,16.1,North,0,0,0,NA,Overcast,0,2016/1/1 20:51
17,16:51:00,3.3,-6.7,48,1014.8,16.1,West,18.5,29.6,0,NA,Clear,280,2016/1/1 21:51
18,17:51:00,3.3,-6.7,48,1015.3,16.1,WNW,13,31.5,0,NA,Clear,300,2016/1/1 22:51
19,18:51:00,2.8,-6.7,50,1015.9,16.1,WNW,20.4,29.6,0,NA,Partly Cloudy,290,2016/1/1 23:51
20,19:51:00,2.8,-7.2,48,1016.5,16.1,West,14.8,25.9,0,NA,Clear,280,2016/1/2 0:51
21,20:51:00,2.2,-7.2,50,1016.8,16.1,WNW,11.1,0,0,NA,Clear,290,2016/1/2 1:51
22,21:51:00,1.7,-6.7,54,1016.6,16.1,North,0,0,0,NA,Clear,0,2016/1/2 2:51
23,22:51:00,1.7,-7.2,52,1016.7,16.1,Variable,9.3,0,0,NA,Clear,0,2016/1/2 3:51
24,23:51:00,1.7,-8.9,46,1016.8,16.1,West,14.8,31.5,0,NA,Clear,270,2016/1/2 4:51
25,0:51:00,1.1,-9.4,46,1016.6,16.1,Variable,9.3,29.6,0,NA,Mostly Cloudy,0,2016/1/2 5:51
26,1:51:00,1.1,-8.9,48,1016.6,16.1,West,13,25.9,0,NA,Clear,270,2016/1/2 6:51
27,2:51:00,1.1,-8.3,50,1017.3,16.1,WNW,13,0,0,NA,Clear,290,2016/1/2 7:51
28,3:51:00,1.1,-8.3,50,1016.9,16.1,West,22.2,33.3,0,NA,Clear,280,2016/1/2 8:51
29,4:51:00,0.6,-7.8,54,1017.1,16.1,West,16.7,25.9,0,NA,Clear,280,2016/1/2 9:51
30,5:51:00,0.6,-7.8,54,1017.4,16.1,West,14.8,0,0,NA,Clear,270,2016/1/2 10:51
31,6:51:00,0.6,-7.8,54,1017.9,16.1,Calm,0,0,0,NA,Scattered Clouds,0,2016/1/2 11:51
32,7:51:00,1.1,-7.8,52,1018.3,16.1,West,7.4,0,0,NA,Overcast,270,2016/1/2 12:51
33,8:51:00,1.1,-8.3,50,1018.8,16.1,West,11.1,0,0,NA,Overcast,260,2016/1/2 13:51
34,9:51:00,1.7,-8.3,48,1019.2,16.1,Variable,9.3,0,0,NA,Overcast,0,2016/1/2 14:51
35,10:51:00,2.8,-7.8,46,1018.5,16.1,Variable,9.3,0,0,NA,Overcast,0,2016/1/2 15:51
36,11:51:00,2.8,-8.3,44,1017.5,16.1,Variable,7.4,25.9,0,NA,Scattered Clouds,0,2016/1/2 16:51
37,12:51:00,3.3,-8.3,43,1016.1,16.1,WNW,13,0,0,NA,Scattered Clouds,290,2016/1/2 17:51
38,13:51:00,3.9,-7.8,43,1015.5,16.1,WSW,13,0,0,NA,Clear,250,2016/1/2 18:51
39,14:51:00,3.9,-7.2,45,1015.1,16.1,WNW,14.8,27.8,0,NA,Clear,290,2016/1/2 19:51
40,15:51:00,4.4,-7.2,43,1015.4,16.1,WNW,11.1,0,0,NA,Overcast,290,2016/1/2 20:51
41,16:51:00,3.9,-7.8,43,1015.7,16.1,Variable,11.1,0,0,NA,Overcast,0,2016/1/2 21:51
42,17:51:00,2.8,-8.3,44,1016.1,16.1,NW,9.3,27.8,0,NA,Clear,310,2016/1/2 22:51
43,18:51:00,2.2,-8.3,46,1016.3,16.1,Calm,0,0,0,NA,Clear,0,2016/1/2 23:51
44,19:51:00,2.2,-8.3,46,1016.2,16.1,WNW,11.1,0,0,NA,Clear,290,2016/1/3 0:51
45,20:51:00,1.7,-7.8,50,1015.8,16.1,WSW,7.4,0,0,NA,Clear,240,2016/1/3 1:51
46,21:51:00,2.2,-7.8,48,1015.3,16.1,North,0,0,0,NA,Clear,0,2016/1/3 2:51
47,22:51:00,1.7,-7.2,52,1014.8,16.1,Variable,11.1,0,0,NA,Clear,0,2016/1/3 3:51
48,23:51:00,2.2,-6.7,52,1014.4,16.1,WSW,13,0,0,NA,Clear,250,2016/1/3 4:51
49,0:51:00,1.7,-6.7,54,1013.6,16.1,Calm,0,0,0,NA,Clear,0,2016/1/3 5:51
50,1:51:00,2.2,-6.7,52,1013,16.1,West,18.5,0,0,NA,Clear,260,2016/1/3 6:51
51,2:51:00,2.2,-6.7,52,1012.2,16.1,WSW,11.1,25.9,0,NA,Clear,240,2016/1/3 7:51
52,3:51:00,2.2,-6.7,52,1011.1,16.1,North,0,0,0,NA,Clear,0,2016/1/3 8:51
53,4:51:00,2.8,-6.7,50,1011.1,16.1,Variable,11.1,38.9,0,NA,Clear,0,2016/1/3 9:51
54,5:51:00,2.2,-6.7,52,1010.4,16.1,Variable,7.4,0,0,NA,Clear,0,2016/1/3 10:51
55,6:51:00,1.7,-6.1,57,1010.7,16.1,WSW,7.4,0,0,NA,Clear,250,2016/1/3 11:51
56,7:51:00,2.2,-6.1,55,1010.8,16.1,Variable,7.4,0,0,NA,Clear,0,2016/1/3 12:51
57,8:51:00,3.3,-6.1,51,1010.8,16.1,WSW,16.7,27.8,0,NA,Clear,240,2016/1/3 13:51
58,9:51:00,3.9,-6.1,49,1010.9,16.1,North,0,0,0,NA,Clear,0,2016/1/3 14:51
59,10:51:00,6.1,-6.7,40,1010.2,16.1,Variable,9.3,25.9,0,NA,Clear,0,2016/1/3 15:51
60,11:51:00,6.7,-7.2,37,1009.2,16.1,WNW,18.5,35.2,0,NA,Clear,290,2016/1/3 16:51
61,12:51:00,6.7,-6.7,38,1008.7,16.1,North,0,0,0,NA,Clear,0,2016/1/3 17:51
62,13:51:00,6.7,-6.1,40,1009.1,16.1,West,13,29.6,0,NA,Clear,280,2016/1/3 18:51
63,14:51:00,5.6,-6.1,43,1009.5,16.1,NW,16.7,33.3,0,NA,Mostly Cloudy,310,2016/1/3 19:51
64,15:51:00,5,-6.7,43,1009.8,16.1,West,14.8,25.9,0,NA,Clear,280,2016/1/3 20:51
65,16:51:00,5,-6.1,45,1010.3,16.1,WNW,18.5,0,0,NA,Overcast,290,2016/1/3 21:51
66,17:51:00,5,-6.1,45,1010.9,16.1,WNW,11.1,0,0,NA,Mostly Cloudy,290,2016/1/3 22:51
67,18:51:00,4.4,-6.1,47,1011.7,16.1,West,14.8,0,0,NA,Clear,280,2016/1/3 23:51
68,19:51:00,3.9,-5.6,50,1012.1,16.1,WNW,13,0,0,NA,Clear,290,2016/1/4 0:51
69,20:51:00,3.3,-5.6,53,1011.6,16.1,WNW,16.7,0,0,NA,Clear,290,2016/1/4 1:51
70,21:51:00,2.8,-5.6,54,1011.9,16.1,West,14.8,0,0,NA,Clear,280,2016/1/4 2:51
71,22:51:00,2.8,-5,57,1012,16.1,West,14.8,0,0,NA,Partly Cloudy,280,2016/1/4 3:51
72,23:51:00,2.2,-5,59,1011.8,16.1,Variable,11.1,0,0,NA,Partly Cloudy,0,2016/1/4 4:51
73,0:51:00,2.2,-5,59,1011.5,16.1,Variable,7.4,0,0,NA,Partly Cloudy,0,2016/1/4 5:51
74,1:51:00,2.2,-5,59,1011.9,16.1,Variable,9.3,0,0,NA,Overcast,0,2016/1/4 6:51
75,2:51:00,1.7,-7.2,52,1012.3,16.1,Variable,5.6,0,0,NA,Overcast,0,2016/1/4 7:51
76,3:51:00,1.1,-8.3,50,1012.1,16.1,Variable,7.4,0,0,NA,Overcast,0,2016/1/4 8:51
77,4:51:00,0.6,-9.4,48,1012.4,16.1,NW,14.8,31.5,0,NA,Overcast,310,2016/1/4 9:51
78,5:51:00,-0.6,-9.4,52,1013.6,16.1,NW,16.7,33.3,0,NA,Partly Cloudy,310,2016/1/4 10:51
79,6:51:00,-1.1,-10,51,1014.6,16.1,NW,18.5,33.3,0,NA,Mostly Cloudy,310,2016/1/4 11:51
80,7:51:00,-1.7,-10.6,51,1015.2,16.1,Variable,11.1,0,0,NA,Overcast,0,2016/1/4 12:51
81,8:51:00,-1.7,-10.6,51,1016.2,16.1,Variable,11.1,0,0,NA,Overcast,0,2016/1/4 13:51
82,9:51:00,-2.2,-13.3,43,1017.1,16.1,Variable,7.4,0,0,NA,Partly Cloudy,0,2016/1/4 14:51
83,10:51:00,-2.2,-13.3,43,1017,16.1,WNW,18.5,31.5,0,NA,Clear,300,2016/1/4 15:51
84,11:51:00,-2.2,-15,38,1016.6,16.1,NW,14.8,0,0,NA,Clear,320,2016/1/4 16:51
85,12:51:00,-1.1,-16.7,30,1016.3,16.1,North,0,0,0,NA,Clear,0,2016/1/4 17:51
86,13:51:00,-2.2,-17.2,31,1016.6,16.1,Variable,7.4,37,0,NA,Clear,0,2016/1/4 18:51
87,14:51:00,-2.2,-17.8,30,1017.5,16.1,Variable,9.3,31.5,0,NA,Clear,0,2016/1/4 19:51
88,15:51:00,-3.3,-15,41,1018.7,16.1,NE,18.5,33.3,0,NA,Clear,40,2016/1/4 20:51
89,16:51:00,-5,-15.6,44,1020.4,16.1,NNE,18.5,35.2,0,NA,Clear,30,2016/1/4 21:51
90,17:51:00,-6.1,-16.1,46,1022,16.1,NNE,20.4,40.7,0,NA,Clear,20,2016/1/4 22:51
91,18:51:00,-6.7,-17.2,44,1023.6,16.1,North,0,0,0,NA,Clear,0,2016/1/4 23:51
92,19:51:00,-7.2,-16.7,47,1024.8,16.1,North,20.4,38.9,0,NA,Overcast,10,2016/1/5 0:51
93,20:51:00,-7.8,-16.7,50,1025.7,16.1,North,16.7,40.7,0,NA,Partly Cloudy,360,2016/1/5 1:51
94,21:51:00,-8.3,-17.8,47,1026.5,16.1,North,14.8,33.3,0,NA,Clear,350,2016/1/5 2:51
95,2:51:00,-11.1,-18.3,56,1031.5,16.1,Variable,7.4,33.3,0,NA,Clear,0,2016/1/5 7:51
96,3:51:00,-11.1,-18.9,53,1031.7,16.1,Variable,11.1,37,0,NA,Clear,0,2016/1/5 8:51
97,4:51:00,-11.1,-19.4,51,1032.1,16.1,Variable,7.4,37,0,NA,Clear,0,2016/1/5 9:51
98,5:51:00,-11.7,-19.4,54,1033.3,16.1,NNE,16.7,33.3,0,NA,Clear,30,2016/1/5 10:51
99,6:51:00,-11.7,-19.4,54,1034.1,16.1,North,0,0,0,NA,Clear,0,2016/1/5 11:51
100,7:51:00,-11.1,-18.9,53,1034.2,16.1,Variable,9.3,0,0,NA,Clear,0,2016/1/5 12:51
101,8:51:00,-10.6,-20,47,1035.6,16.1,North,20.4,31.5,0,NA,Clear,350,2016/1/5 13:51
102,9:51:00,-8.3,-18.9,43,1036.3,16.1,North,0,0,0,NA,Clear,0,2016/1/5 14:51
103,10:51:00,-7.2,-20,36,1036.2,16.1,Variable,11.1,25.9,0,NA,Clear,0,2016/1/5 15:51
104,11:51:00,-5.6,-20.6,30,1036,16.1,NE,16.7,29.6,0,NA,Clear,40,2016/1/5 16:51
105,12:51:00,-3.9,-21.1,26,1035.4,16.1,Variable,11.1,0,0,NA,Clear,0,2016/1/5 17:51
106,13:51:00,-2.8,-21.1,24,1035.1,16.1,Variable,9.3,0,0,NA,Clear,0,2016/1/5 18:51
107,14:51:00,-2.2,-20,25,1035.3,16.1,WNW,7.4,0,0,NA,Clear,300,2016/1/5 19:51
108,15:51:00,-2.2,-19.4,26,1035.8,16.1,Calm,0,0,0,NA,Clear,0,2016/1/5 20:51
109,16:51:00,-2.2,-20,25,1036.2,16.1,Calm,0,0,0,NA,Clear,0,2016/1/5 21:51
110,17:51:00,-2.8,-19.4,27,1036.6,16.1,Calm,0,0,0,NA,Clear,0,2016/1/5 22:51
111,18:51:00,-2.8,-19.4,27,1036.8,16.1,Calm,0,0,0,NA,Clear,0,2016/1/5 23:51
112,19:51:00,-2.2,-18.9,27,1036.8,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 0:51
113,20:51:00,-1.7,-18.9,26,1036.7,16.1,WNW,5.6,0,0,NA,Clear,290,2016/1/6 1:51
114,21:51:00,-2.2,-17.8,30,1036.6,16.1,Variable,5.6,0,0,NA,Clear,0,2016/1/6 2:51
115,22:51:00,-2.2,-17.8,30,1036.6,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 3:51
116,23:51:00,-2.8,-17.2,33,1035.8,16.1,West,5.6,0,0,NA,Clear,280,2016/1/6 4:51
117,0:51:00,-2.2,-17.2,31,1035.3,16.1,WNW,5.6,0,0,NA,Clear,290,2016/1/6 5:51
118,1:51:00,-2.8,-15.6,37,1035.6,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 6:51
119,2:51:00,-3.3,-15,41,1035.2,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 7:51
120,3:51:00,-3.3,-13.9,44,1034.8,16.1,NW,5.6,0,0,NA,Clear,320,2016/1/6 8:51
121,4:51:00,-3.9,-12.8,51,1034.7,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 9:51
122,5:51:00,-3.3,-13.3,47,1035.1,16.1,WNW,5.6,0,0,NA,Clear,290,2016/1/6 10:51
123,6:51:00,-3.3,-13.3,47,1035.1,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 11:51
124,7:51:00,-2.8,-14.4,41,1035.2,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 12:51
125,8:51:00,-1.1,-16.1,32,1035.3,16.1,Variable,5.6,0,0,NA,Clear,0,2016/1/6 13:51
126,9:51:00,-1.1,-16.1,32,1035.6,16.1,Variable,11.1,0,0,NA,Clear,0,2016/1/6 14:51
127,10:51:00,0.6,-16.7,27,1035.2,16.1,WSW,11.1,0,0,NA,Clear,250,2016/1/6 15:51
128,11:51:00,2.2,-17.2,23,1033.8,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 16:51
129,12:51:00,3.3,-17.2,21,1032.4,16.1,Calm,0,0,0,NA,Clear,0,2016/1/6 17:51
130,13:51:00,4.4,-17.8,19,1031.3,16.1,Variable,7.4,0,0,NA,Clear,0,2016/1/6 18:51
131,14:51:00,4.4,-18.3,18,1031.1,16.1,WSW,7.4,0,0,NA,Clear,240,2016/1/6 19:51
132,15:51:00,3.9,-17.2,20,1030.8,16.1,SSW,5.6,0,0,NA,Clear,210,2016/1/6 20:51
133,16:51:00,3.3,-16.1,23,1030.5,16.1,WSW,5.6,0,0,NA,Clear,240,2016/1/6 21:51
134,17:51:00,3.3,-14.4,27,1030.5,16.1,SW,13,0,0,NA,Clear,230,2016/1/6 22:51
